file_path,label
FixedDataset\Anger\03-01-04-01-01-01-01.wav,0
FixedDataset\Anger\03-01-04-01-01-01-01_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-01_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-01_aug2.wav,0
FixedDataset\Anger\03-01-04-01-01-01-01_aug3.wav,0
FixedDataset\Anger\03-01-04-01-01-01-02.wav,0
FixedDataset\Anger\03-01-04-01-01-01-02_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-02_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-02_aug2.wav,0
FixedDataset\Anger\03-01-04-01-01-01-02_aug3.wav,0
FixedDataset\Anger\03-01-04-01-01-01-03.wav,0
FixedDataset\Anger\03-01-04-01-01-01-03_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-03_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-03_aug2.wav,0
FixedDataset\Anger\03-01-04-01-01-01-03_aug3.wav,0
FixedDataset\Anger\03-01-04-01-01-01-04.wav,0
FixedDataset\Anger\03-01-04-01-01-01-04_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-04_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-04_aug2.wav,0
FixedDataset\Anger\03-01-04-01-01-01-04_aug3.wav,0
FixedDataset\Anger\03-01-04-01-01-01-05.wav,0
FixedDataset\Anger\03-01-04-01-01-01-05_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-05_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-05_aug2.wav,0
FixedDataset\Anger\03-01-04-01-01-01-05_aug3.wav,0
FixedDataset\Anger\03-01-04-01-01-01-06.wav,0
FixedDataset\Anger\03-01-04-01-01-01-06_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-06_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-06_aug2.wav,0
FixedDataset\Anger\03-01-04-01-01-01-06_aug3.wav,0
FixedDataset\Anger\03-01-04-01-01-01-07.wav,0
FixedDataset\Anger\03-01-04-01-01-01-07_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-07_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-07_aug2.wav,0
FixedDataset\Anger\03-01-04-01-01-01-07_aug3.wav,0
FixedDataset\Anger\03-01-04-01-01-01-08.wav,0
FixedDataset\Anger\03-01-04-01-01-01-08_aug0.wav,0
FixedDataset\Anger\03-01-04-01-01-01-08_aug1.wav,0
FixedDataset\Anger\03-01-04-01-01-01-08_aug2.wav,0
